apogee_id,param_m_h,param_m_h_err,param_alpha_m,param_alpha_m_err,glat
2M17415201-3000429,-9999,-1,-9999,-1,0.131377255381
2M17485731-2650288,-9999,-1,-9999,-1,0.454956316144
2M17492385-2642411,0.4070171,0.02169835,-0.01361679,0.009076649,0.437171263055
2M17502114-2649395,0.2632315,0.02445,0.00361368,0.009436971,0.194596978765
2M17503763-2642556,-0.1831431,0.02646451,0.05117871,0.01354307,0.199434129527
2M17512539-2716334,0.4843949,0.02346251,0.02586342,0.009259545,-0.239639904943
2M17523952-2712111,0.1782507,0.02408169,-0.02231419,0.009866855,-0.438762074122
2M17524360-2656270,-9999,-1,-9999,-1,-0.318364102676
2M06353765+0634471,-0.2962153,0.03270093,0.06035315,0.01725142,-0.498084798017
2M19452367+2440479,-0.165988,0.02759566,0.009434698,0.01284316,0.100939220622
2M19455957+2426444,-0.1648419,0.02789176,0.005118573,0.01245849,-0.134274198399
2M19460993+2453384,0.4374117,0.02519556,0.00384359,0.01010334,0.0569061916153
2M19462817+2502366,-9999,-1,-9999,-1,0.0724938086039
2M19465164+2426359,0.3531846,0.02620261,0.006831377,0.0108465,-0.30620096637
2M06015704+2253155,-0.06109919,0.03011506,0.07735858,0.0138339,0.0959141425076
2M06023753+2128455,0.01419422,0.02871442,-0.005786462,0.01182274,-0.463591372013
2M06023979+2307063,0.09443609,0.02869945,0.01761216,0.01214899,0.352423194611
2M06031763+2116196,-0.1007475,0.02852255,0.05000328,0.01233877,-0.430311876923
2M06041802+2221291,-0.1611714,0.03073858,0.007880201,0.01340015,0.306937816477
2M06052447+2119027,-0.2495259,0.03063204,0.111932,0.01578984,0.0209713891989
2M06064342+2127034,-0.325709,0.03212658,0.06683783,0.01488404,0.353458220384
2M06283409+1008596,-0.292692,0.02948861,0.01693184,0.0137173,-0.396431132795
2M05111750+3853461,-0.4525962,0.03468205,0.08033755,0.0183186,-0.390422544392
2M05135819+3904298,-9999,-1,-9999,-1,0.135578700722
2M05143329+3813319,-9999,-1,-9999,-1,-0.268493969456
2M21522710+5440587,0.07551451,0.0280796,0.07314492,0.01288734,0.381382073828
2M17525127-2527288,-9999,-1,-9999,-1,0.411084729307
2M17535480-2525316,-9999,-1,-9999,-1,0.221654136548
2M17541544-2524383,0.2890489,0.02327674,-0.02409169,0.009028627,0.162159825364
2M17541766-2542256,-9999,-1,-9999,-1,0.00491105585775
2M17544996-2520224,-9999,-1,-9999,-1,0.0859786461763
2M17555903-2547186,0.4101887,0.02493712,0.004668696,0.009020713,-0.364599891566
2M17560287-2529291,0.4355966,0.02462517,0.007702614,0.008842719,-0.227537010876
2M17560489-2522259,-9999,-1,-9999,-1,-0.174942536882
